Advertiser ID,Advertiser,Insertion Order ID,Insertion Order,Line Item ID,Line Item,Partner ID,Partner,Cookie Reach: Impression Reach
705159561,Stage Entertainment_Germany,21950660,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_multipleshows_usecase1lalshowpagevisitors,54854397,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_dynamic-image_h5_multipleshows_usecase1lalshowpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,156386
705159561,Stage Entertainment_Germany,21950660,de_2021-7_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_multipleshows_usecase1lalshowpagevisitors,55826652,de_2021-8_restart_ps_multipleshows_national_multiaudience_auction_cps_multiplacement_look-a-like_mi_dynamic-image_h5_multipleshows_usecase1lalshowpagevisitors-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,137702
705159561,Stage Entertainment_Germany,21971241,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2homepagevisitor,54856084,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2homepagevisitor,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,145
705159561,Stage Entertainment_Germany,21971241,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2homepagevisitor,55820264,de_2021-8_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2homepagevisitor-mmr,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,12044
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,54856085,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_multipleshows_usecase2showpagevisitor,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,19940
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55085184,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_tlk_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,3129
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55085185,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_froz_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,1748
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55091814,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_bmg_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,203
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092041,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_ala_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,580
705159561,Stage Entertainment_Germany,21971242,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_multipleshows_usecase2showpagevisitors,55092101,de_2021-7_restart_rt_multipleshows_national_multiaudience_auction_cps_multiplacement_retargeting_mi_dynamic-image_h5_wic_usecase2showpagevisitors,694186226,TP - Stage Entertainment - DQ&A - DV360 - DE,564
